NET      STA    SEE                                                             
CI       CPT2   HNE                                                             
CI       CPT2   HNN                                                             
CI       CPT2   HNZ                                                             
CI       CRF    EHZ                                                             
CI       CRF    HNE                                                             
CI       CRF    HNN                                                             
CI       CRF    HNZ                                                             
CI       CRG    HHE                                                             
CI       CRG    HHN                                                             
CI       CRG    HHZ                                                             
CI       CRG    HNE                                                             
CI       CRG    HNN                                                             
CI       CRG    HNZ                                                             
CI       CRN    EHZ                                                             
CI       CRN    HNE                                                             
CI       CRN    HNN                                                             
CI       CRN    HNZ                                                             
CI       CRR    HHE                                                             
CI       CRR    HHN                                                             
CI       CRR    HHZ                                                             
CI       CRR    HNE                                                             
CI       CRR    HNN                                                             
CI       CRR    HNZ                                                             
CI       CRY    HHE                                                             
CI       CRY    HHN                                                             
CI       CRY    HHZ                                                             
CI       CRY    HNE                                                             
CI       CRY    HNN                                                             
CI       CRY    HNZ                                                             
CI       CSH    HHE                                                             
CI       CSH    HHN                                                             
CI       CSH    HHZ                                                             
CI       CSH    HNE                                                             
CI       CSH    HNN                                                             
CI       CSH    HNZ                                                             
CI       CSL    EHZ                                                             
CI       CSL    HNE                                                             
CI       CSL    HNN                                                             
CI       CSL    HNZ                                                             
CI       CTC    HHE                                                             
CI       CTC    HHN                                                             
CI       CTC    HHZ                                                             
CI       CTC    HNE                                                             
CI       CTC    HNN                                                             
CI       CTC    HNZ                                                             
CI       CTW    HHE                                                             
CI       CTW    HHN                                                             
CI       CTW    HHZ                                                             
CI       CTW    HNE                                                             
CI       CTW    HNN                                                             
CI       CTW    HNZ                                                             
CI       CVW    HHE                                                             
CI       CVW    HHN                                                             
CI       CVW    HHZ                                                             
CI       CVW    HNE                                                             
CI       CVW    HNN                                                             
CI       CVW    HNZ                                                             
CI       CWC    HHE                                                             
CI       CWC    HHN                                                             
CI       CWC    HHZ                                                             
CI       CWC    HNE                                                             
CI       CWC    HNN                                                             
CI       CWC    HNZ                                                             
CI       CWP    HHE                                                             
CI       CWP    HHN                                                             
CI       CWP    HHZ                                                             
CI       CWP    HNE                                                             
CI       CWP    HNN                                                             
CI       CWP    HNZ                                                             
CI       CYP    HHE                                                             
CI       CYP    HHN                                                             
CI       CYP    HHZ                                                             
CI       CYP    HNE                                                             
CI       CYP    HNN                                                             
CI       CYP    HNZ                                                             
CI       CZN    HHE                                                             
CI       CZN    HHN                                                             
CI       CZN    HHZ                                                             
CI       CZN    HNE                                                             
CI       CZN    HNN                                                             
CI       CZN    HNZ                                                             
CI       DAN    HHE                                                             
CI       DAN    HHN                                                             
CI       DAN    HHZ                                                             
CI       DAN    HNE                                                             
CI       DAN    HNN                                                             
CI       DAN    HNZ                                                             
CI       DAW    HHE                                                             
CI       DAW    HHN                                                             
CI       DAW    HHZ                                                             
CI       DAW    HNE                                                             
CI       DAW    HNN                                                             
CI       DAW    HNZ                                                             
CI       DEC    HHE                                                             
CI       DEC    HHN                                                             
CI       DEC    HHZ                                                             
CI       DEC    HNE                                                             
CI       DEC    HNN                                                             
CI       DEC    HNZ                                                             
CI       DEV    HHE                                                             
CI       DEV    HHN                                                             
CI       DEV    HHZ                                                             
CI       DEV    HNE                                                             
CI       DEV    HNN                                                             
CI       DEV    HNZ                                                             
CI       DGR    HHE                                                             
CI       DGR    HHN                                                             
CI       DGR    HHZ                                                             
CI       DGR    HNE                                                             
CI       DGR    HNN                                                             
CI       DGR    HNZ                                                             
CI       DJJ    HHE                                                             
CI       DJJ    HHN                                                             
CI       DJJ    HHZ                                                             
CI       DJJ    HNE                                                             
CI       DJJ    HNN                                                             
CI       DJJ    HNZ                                                             
CI       DJJB   HNE                                                             
CI       DJJB   HNN                                                             
CI       DJJB   HNZ                                                             
CI       DLA    HHE                                                             
CI       DLA    HHN                                                             
CI       DLA    HHZ                                                             
CI       DLA    HNE                                                             
CI       DLA    HNN                                                             
CI       DLA    HNZ                                                             
CI       DNR    HHE                                                             
CI       DNR    HHN                                                             
CI       DNR    HHZ                                                             
CI       DNR    HNE                                                             
CI       DNR    HNN                                                             
CI       DNR    HNZ                                                             
CI       DPP    HHE                                                             
CI       DPP    HHN                                                             
CI       DPP    HHZ                                                             
CI       DPP    HNE                                                             
CI       DPP    HNN                                                             
CI       DPP    HNZ                                                             
CI       DRE    HHE                                                             
CI       DRE    HHN                                                             
CI       DRE    HHZ                                                             
CI       DRE    HNE                                                             
CI       DRE    HNN                                                             
CI       DRE    HNZ                                                             
CI       DSC    HHE                                                             
CI       DSC    HHN                                                             
CI       DSC    HHZ                                                             
CI       DSC    HNE                                                             
CI       DSC    HNN                                                             
CI       DSC    HNZ                                                             
CI       DTC    EHZ                                                             
CI       DTC    HNE                                                             
CI       DTC    HNN                                                             
CI       DTC    HNZ                                                             
CI       DTP    HHE                                                             
CI       DTP    HHN                                                             
CI       DTP    HHZ                                                             
CI       DTP    HNE                                                             
CI       DTP    HNN                                                             
CI       DTP    HNZ                                                             
CI       DZA    HHE                                                             
CI       DZA    HHN                                                             
CI       DZA    HHZ                                                             
CI       DZA    HNE                                                             
CI       DZA    HNN                                                             
CI       DZA    HNZ                                                             
CI       EDW2   HHE                                                             
CI       EDW2   HHN                                                             
CI       EDW2   HHZ                                                             
CI       EDW2   HNE                                                             
CI       EDW2   HNN                                                             
CI       EDW2   HNZ                                                             
CI       ELS2   HHE                                                             
CI       ELS2   HHN                                                             
CI       ELS2   HHZ                                                             
CI       ELS2   HNE                                                             
CI       ELS2   HNN                                                             
CI       ELS2   HNZ                                                             
CI       EML    HHE                                                             
CI       EML    HHN                                                             
CI       EML    HHZ                                                             
CI       EML    HNE                                                             
CI       EML    HNN                                                             
CI       EML    HNZ                                                             
CI       EMS    EHZ                                                             
CI       EMS    HNE                                                             
CI       EMS    HNN                                                             
CI       EMS    HNZ                                                             
CI       EOC    EHZ                                                             
CI       EOC    HHE                                                             
CI       EOC    HHN                                                             
CI       EOC    HHZ                                                             
CI       EOC    HNE                                                             
CI       EOC    HNN                                                             
CI       EOC    HNZ                                                             
CI       ERR    HHE                                                             
CI       ERR    HHN                                                             
CI       ERR    HHZ                                                             
CI       ERR    HNE                                                             
CI       ERR    HNN                                                             
CI       ERR    HNZ                                                             
CI       ESI2   EHZ                                                             
CI       ESI2   HHE                                                             
CI       ESI2   HHN                                                             
CI       ESI2   HHZ                                                             
CI       ESI2   HNE                                                             
CI       ESI2   HNN                                                             
CI       ESI2   HNZ                                                             
CI       FDR    HHE                                                             
CI       FDR    HHN                                                             
CI       FDR    HHZ                                                             
CI       FDR    HNE                                                             
CI       FDR    HNN                                                             
CI       FDR    HNZ                                                             
CI       FHO    HHE                                                             
CI       FHO    HHN                                                             
CI       FHO    HHZ                                                             
CI       FHO    HNE                                                             
CI       FHO    HNN                                                             
CI       FHO    HNZ                                                             
CI       FIG    HHE                                                             
CI       FIG    HHN                                                             
CI       FIG    HHZ                                                             
CI       FIG    HNE                                                             
CI       FIG    HNN                                                             
CI       FIG    HNZ                                                             
CI       FMO    HHE                                                             
CI       FMO    HHN                                                             
CI       FMO    HHZ                                                             
CI       FMO    HNE                                                             
CI       FMO    HNN                                                             
CI       FMO    HNZ                                                             
CI       FMP    HHE                                                             
CI       FMP    HHN                                                             
CI       FMP    HHZ                                                             
CI       FMP    HNE                                                             
CI       FMP    HNN                                                             
CI       FMP    HNZ                                                             
CI       FON    EHZ                                                             
CI       FON    HNE                                                             
CI       FON    HNN                                                             
CI       FON    HNZ                                                             
CI       FOX2   HHE                                                             
CI       FOX2   HHN                                                             
CI       FOX2   HHZ                                                             
CI       FOX2   HNE                                                             
CI       FOX2   HNN                                                             
CI       FOX2   HNZ                                                             
CI       FRK    HHE                                                             
CI       FRK    HHN                                                             
CI       FRK    HHZ                                                             
CI       FRK    HNE                                                             
CI       FRK    HNN                                                             
CI       FRK    HNZ                                                             
CI       FRM    EHZ                                                             
CI       FRM    HNE                                                             
CI       FRM    HNN                                                             
CI       FRM    HNZ                                                             
CI       FUL    EHZ                                                             
CI       FUL    HNE                                                             
CI       FUL    HNN                                                             
CI       FUL    HNZ                                                             
CI       FUR    HHE                                                             
CI       FUR    HHN                                                             
CI       FUR    HHZ                                                             
CI       FUR    HNE                                                             
CI       FUR    HNN                                                             
CI       FUR    HNZ                                                             
CI       GATR   HHE                                                             
CI       GATR   HHN                                                             
CI       GATR   HHZ                                                             
CI       GATR   HNE                                                             
CI       GATR   HNN                                                             
CI       GATR   HNZ                                                             
CI       GCC    EHZ                                                             
CI       GCC    HNE                                                             
CI       GCC    HNN                                                             
CI       GCC    HNZ                                                             
CI       GDF    HHE                                                             
CI       GDF    HHN                                                             
CI       GDF    HHZ                                                             
CI       GDF    HNE                                                             
CI       GDF    HNN                                                             
CI       GDF    HNZ                                                             
CI       GFF    HHE                                                             
CI       GFF    HHN                                                             
CI       GFF    HHZ                                                             
CI       GFF    HNE                                                             
CI       GFF    HNN                                                             
CI       GFF    HNZ                                                             
CI       GFS    HHE                                                             
CI       GFS    HHN                                                             
CI       GFS    HHZ                                                             
CI       GFS    HNE                                                             
CI       GFS    HNN                                                             
CI       GFS    HNZ                                                             
CI       GLA    HHE                                                             
CI       GLA    HHN                                                             
CI       GLA    HHZ                                                             
CI       GLA    HNE                                                             
CI       GLA    HNN                                                             
CI       GLA    HNZ                                                             
CI       GMA    HHE                                                             
CI       GMA    HHN                                                             
CI       GMA    HHZ                                                             
CI       GMA    HNE                                                             
CI       GMA    HNN                                                             
CI       GMA    HNZ                                                             
CI       GMR    HHE                                                             
CI       GMR    HHN                                                             
CI       GMR    HHZ                                                             
CI       GMR    HNE                                                             
CI       GMR    HNN                                                             
CI       GMR    HNZ                                                             
CI       GOR    HHE                                                             
CI       GOR    HHN                                                             
CI       GOR    HHZ                                                             
CI       GOR    HNE                                                             
CI       GOR    HNN                                                             
CI       GOR    HNZ                                                             
CI       GOU    HHE                                                             
CI       GOU    HHN                                                             
CI       GOU    HHZ                                                             
CI       GOU    HNE                                                             
CI       GOU    HNN                                                             
CI       GOU    HNZ                                                             
CI       GR2    HHE                                                             
CI       GR2    HHN                                                             
CI       GR2    HHZ                                                             
CI       GR2    HNE                                                             
CI       GR2    HNN                                                             
CI       GR2    HNZ                                                             
CI       GRA    HHE                                                             
CI       GRA    HHN                                                             
CI       GRA    HHZ                                                             
CI       GRA    HNE                                                             
CI       GRA    HNN                                                             
CI       GRA    HNZ                                                             
CI       GSA    EHZ                                                             
CI       GSA    HNE                                                             
CI       GSA    HNN                                                             
CI       GSA    HNZ                                                             
CI       GSC    HHE                                                             
CI       GSC    HHN                                                             
CI       GSC    HHZ                                                             
CI       GSC    HNE                                                             
CI       GSC    HNN                                                             
CI       GSC    HNZ                                                             
CI       GVR    EHZ                                                             
CI       GVR    HNE                                                             
CI       GVR    HNN                                                             
CI       GVR    HNZ                                                             
CI       HAR    HHE                                                             
CI       HAR    HHN                                                             
CI       HAR    HHZ                                                             
CI       HAR    HNE                                                             
CI       HAR    HNN                                                             
CI       HAR    HNZ                                                             
CI       HAY    HHE                                                             
CI       HAY    HHN                                                             
CI       HAY    HHZ                                                             
CI       HAY    HNE                                                             
CI       HAY    HNN                                                             
CI       HAY    HNZ                                                             
CI       HDH    HHE                                                             
CI       HDH    HHN                                                             
CI       HDH    HHZ                                                             
CI       HDH    HNE                                                             
CI       HDH    HNN                                                             
CI       HDH    HNZ                                                             
CI       HEC    HHE                                                             
CI       HEC    HHN                                                             
CI       HEC    HHZ                                                             
CI       HEC    HNE                                                             
CI       HEC    HNN                                                             
CI       HEC    HNZ                                                             
CI       HHL    HHE                                                             
CI       HHL    HHN                                                             
CI       HHL    HHZ                                                             
CI       HHL    HNE                                                             
CI       HHL    HNN                                                             
CI       HHL    HNZ                                                             
CI       HIW    HHE                                                             
CI       HIW    HHN                                                             
CI       HIW    HHZ                                                             
CI       HIW    HNE                                                             
CI       HIW    HNN                                                             
CI       HIW    HNZ                                                             
CI       HLL    HHE                                                             
CI       HLL    HHN                                                             
CI       HLL    HHZ                                                             
CI       HLL    HNE                                                             
CI       HLL    HNN                                                             
CI       HLL    HNZ                                                             
CI       HLN    EHZ                                                             
CI       HLN    HNE                                                             
CI       HLN    HNN                                                             
CI       HLN    HNZ                                                             
CI       HMT2   HHE                                                             
CI       HMT2   HHN                                                             
CI       HMT2   HHZ                                                             
CI       HMT2   HNE                                                             
CI       HMT2   HNN                                                             
CI       HMT2   HNZ                                                             
CI       HOL    HHE                                                             
CI       HOL    HHN                                                             
CI       HOL    HHZ                                                             
CI       HOL    HNE                                                             
CI       HOL    HNN                                                             
CI       HOL    HNZ                                                             
CI       HRV    HHE                                                             
CI       HRV    HHN                                                             
CI       HRV    HHZ                                                             
CI       HRV    HNE                                                             
CI       HRV    HNN                                                             
CI       HRV    HNZ                                                             
CI       HYS    HHE                                                             
CI       HYS    HHN                                                             
CI       HYS    HHZ                                                             
CI       HYS    HNE                                                             
CI       HYS    HNN                                                             
CI       HYS    HNZ                                                             
CI       IDO    HHE                                                             
CI       IDO    HHN                                                             
CI       IDO    HHZ                                                             
CI       IDO    HNE                                                             
CI       IDO    HNN                                                             
CI       IDO    HNZ                                                             
CI       IDQ    HNE                                                             
CI       IDQ    HNN                                                             
CI       IDQ    HNZ                                                             
CI       IDY    HHE                                                             
CI       IDY    HHN                                                             
CI       IDY    HHZ                                                             
CI       IDY    HNE                                                             
CI       IDY    HNN                                                             
CI       IDY    HNZ                                                             
CI       IKP    HHE                                                             
CI       IKP    HHN                                                             
CI       IKP    HHZ                                                             
CI       IKP    HNE                                                             
CI       IKP    HNN                                                             
CI       IKP    HNZ                                                             
CI       IMP    HHE                                                             
CI       IMP    HHN                                                             
CI       IMP    HHZ                                                             
CI       IMP    HNE                                                             
CI       IMP    HNN                                                             
CI       IMP    HNZ                                                             
CI       IRM    HHE                                                             
CI       IRM    HHN                                                             
CI       IRM    HHZ                                                             
CI       IRM    HNE                                                             
CI       IRM    HNN                                                             
CI       IRM    HNZ                                                             
CI       ISA    HHE                                                             
CI       ISA    HHN                                                             
CI       ISA    HHZ                                                             
CI       ISA    HNE                                                             
CI       ISA    HNN                                                             
CI       ISA    HNZ                                                             
CI       IVY    EHZ                                                             
CI       IVY    HNE                                                             
CI       IVY    HNN                                                             
CI       IVY    HNZ                                                             
CI       JEM    HHE                                                             
CI       JEM    HHN                                                             
CI       JEM    HHZ                                                             
CI       JEM    HNE                                                             
CI       JEM    HNN                                                             
CI       JEM    HNZ                                                             
CI       JNH2   HHE                                                             
CI       JNH2   HHN                                                             
CI       JNH2   HHZ                                                             
CI       JNH2   HNE                                                             
CI       JNH2   HNN                                                             
CI       JNH2   HNZ                                                             
CI       JPLS   HHE                                                             
CI       JPLS   HHN                                                             
CI       JPLS   HHZ                                                             
CI       JPLS   HNE                                                             
CI       JPLS   HNN                                                             
CI       JPLS   HNZ                                                             
CI       JRC2   HHE                                                             
CI       JRC2   HHN                                                             
CI       JRC2   HHZ                                                             
CI       JRC2   HNE                                                             
CI       JRC2   HNN                                                             
CI       JRC2   HNZ                                                             
CI       JTH    HHE                                                             
CI       JTH    HHN                                                             
CI       JTH    HHZ                                                             
CI       JTH    HNE                                                             
CI       JTH    HNN                                                             
CI       JTH    HNZ                                                             
CI       JVA    HHE                                                             
CI       JVA    HHN                                                             
CI       JVA    HHZ                                                             
CI       JVA    HNE                                                             
CI       JVA    HNN                                                             
CI       JVA    HNZ                                                             
CI       KIK    EHZ                                                             
CI       KIK    HNE                                                             
CI       KIK    HNN                                                             
CI       KIK    HNZ                                                             
CI       KML    HHE                                                             
CI       KML    HHN                                                             
CI       KML    HHZ                                                             
CI       KML    HNE                                                             
CI       KML    HNN                                                             
CI       KML    HNZ                                                             
CI       KRV1   HHE                                                             
CI       KRV1   HHN                                                             
CI       KRV1   HHZ                                                             
CI       KRV1   HNE                                                             
CI       KRV1   HNN                                                             
CI       KRV1   HNZ                                                             
CI       KRV3   HHE                                                             
CI       KRV3   HHN                                                             
CI       KRV3   HHZ                                                             
CI       KRV3   HNE                                                             
CI       KRV3   HNN                                                             
CI       KRV3   HNZ                                                             
CI       KYV    HHE                                                             
CI       KYV    HHN                                                             
CI       KYV    HHZ                                                             
CI       KYV    HNE                                                             
CI       KYV    HNN                                                             
CI       KYV    HNZ                                                             
CI       LAF    HHE                                                             
CI       LAF    HHN                                                             
CI       LAF    HHZ                                                             
CI       LAF    HNE                                                             
CI       LAF    HNN                                                             
CI       LAF    HNZ                                                             
CI       LAT    HHE                                                             
CI       LAT    HHN                                                             
CI       LAT    HHZ                                                             
CI       LAT    HNE                                                             
CI       LAT    HNN                                                             
CI       LAT    HNZ                                                             
CI       LBW1   HNE                                                             
CI       LBW1   HNE                                                             
CI       LBW1   HNN                                                             
CI       LBW1   HNN                                                             
CI       LBW1   HNZ                                                             
CI       LBW1   HNZ                                                             
CI       LBW2   HNE                                                             
CI       LBW2   HNN                                                             
CI       LBW2   HNZ                                                             
CI       LCG    HHE                                                             
CI       LCG    HHN                                                             
CI       LCG    HHZ                                                             
CI       LCG    HNE                                                             
CI       LCG    HNN                                                             
CI       LCG    HNZ                                                             
